region_id,elevation_p10_m,elevation_p90_m,terrain_relief,dem_pixel_count,terrain_relief_source_type,terrain_relief_missing_reason
26260,5.729061317443848,209.7201385498049,203.99107723236105,2060,static_reference,
26290,3.223990535736084,123.89558258056645,120.67159204483038,3359,static_reference,
26320,4.189801263809204,419.6294769287109,415.4396756649017,4894,static_reference,
26350,6.4969044685363775,328.17045288085944,321.67354841232304,6445,static_reference,
26380,0.1689361274242401,167.7542175292971,167.58528140187286,5830,static_reference,
26410,34.68890914916992,478.1923400878906,443.50343093872067,8133,static_reference,
26440,0.38300543129444126,132.90095062255855,132.51794519126412,22958,static_reference,
26470,5.693408203125,175.74605407714844,170.05264587402345,1494,static_reference,
26500,3.715458345413208,148.9483917236329,145.2329333782197,1272,static_reference,
26530,1.0245943784713747,277.2589508056641,276.2343564271927,4482,static_reference,
26710,25.89182758331299,313.1442169189453,287.2523893356323,27090,static_reference,
27110,38.52385330200195,51.396566009521486,12.872712707519533,878,static_reference,
27140,38.329642868042,560.8638366699217,522.5341938018797,22448,static_reference,
27170,25.02252616882324,65.82770538330078,40.80517921447754,2147,static_reference,
27200,54.5634407043457,420.842562866211,366.2791221618653,2194,static_reference,
27230,28.1414213180542,180.72066497802734,152.57924365997314,11586,static_reference,
27260,46.56092491149902,383.2656738281251,336.7047489166261,9468,static_reference,
27290,21.872351455688477,346.21041870117176,324.3380672454833,7729,static_reference,
27710,21.21260299682617,553.2994628906253,532.0868598937991,52274,static_reference,
27720,107.69086990356446,453.4735351562501,345.7826652526856,75752,static_reference,
28125,4.762797323862712,28.856505584716803,24.093708260854097,9829,proxy,2026 administrative split estimated from prior SGIS boundaries
28155,2.408552646636963,46.4423828125,44.03383016586304,8925,proxy,2026 administrative split estimated from prior SGIS boundaries
28177,5.866664123535156,49.19905242919922,43.33238830566406,3087,static_reference,
28185,0.08384257555007936,23.21599082946779,23.13214825391771,7527,static_reference,
28200,5.116784763336182,68.8573989868164,63.74061422348022,7119,static_reference,
28237,9.535133361816406,79.94279479980474,70.40766143798834,3954,static_reference,
28245,6.93775053024292,87.62481155395508,80.68706102371216,5632,static_reference,
28275,4.538035917282104,50.749761581420906,46.211725664138804,10645,proxy,2026 administrative split estimated from prior SGIS boundaries
28290,4.538035917282104,50.74976158142091,46.21172566413881,5732,proxy,2026 administrative split estimated from prior SGIS boundaries
28710,7.625124931335449,141.13407135009766,133.5089464187622,51026,static_reference,
28720,6.035131645202637,104.18963088989258,98.15449924468994,22724,static_reference,
